time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-06T14:52:54.180Z,13.2253,-88.0851,10,4.8,mb,,130,1.137,0.97,us,us1000dzcv,2018-07-27T20:20:28.040Z,4km NW of Intipuca  El Salvador,earthquake,5.8,1.9,0.028,399,reviewed,us,us
2018-05-06T14:37:50.620Z,13.2519,-87.9776,10,4.3,mb,,148,1.053,0.86,us,us1000dzch,2018-07-27T20:20:43.040Z,10km NE of Intipuca  El Salvador,earthquake,5.7,1.9,0.169,10,reviewed,us,us
2018-05-06T12:44:28.080Z,13.2731,-87.9546,10,5.2,mww,,81,1.022,0.79,us,us1000dzau,2018-07-27T20:20:28.040Z,10km WSW of Conchagua  El Salvador,earthquake,4.8,1.8,0.065,23,reviewed,us,us
2018-05-06T12:37:58.950Z,13.2236,-88.0338,10,5.2,mww,,60,1.093,0.92,us,us1000dzap,2018-07-27T20:20:28.040Z,3km NE of Intipuca  El Salvador,earthquake,5.7,1.9,0.058,29,reviewed,us,us
2018-05-06T04:58:22.070Z,13.3024,-87.8448,10,4.9,mwr,,125,0.933,0.86,us,us1000dz60,2018-07-27T20:20:29.040Z,2km ESE of Conchagua  El Salvador,earthquake,3.7,1.9,0.05,39,reviewed,us,us
2018-05-06T04:04:25.750Z,13.2584,-87.9387,10,4.4,mb,,142,1.024,0.87,us,us1000dz58,2018-07-27T20:20:29.040Z,9km SW of Conchagua  El Salvador,earthquake,5.2,1.9,0.059,83,reviewed,us,us
2018-04-30T04:10:17.200Z,13.2208,-89.2951,78.03,4.3,mb,,125,0.467,1.01,us,us1000duju,2018-07-27T20:20:34.040Z,29km S of La Libertad  El Salvador,earthquake,7.7,7.5,0.051,110,reviewed,us,us
2018-04-27T22:42:08.490Z,13.2211,-89.1392,64.72,4.3,mb,,163,0.471,0.95,us,us1000dtpl,2018-07-25T21:37:29.040Z,32km SSW of El Rosario  El Salvador,earthquake,7.1,4.2,0.079,45,reviewed,us,us
2018-04-03T16:00:50.900Z,13.0609,-88.7998,64.85,4.8,mb,,63,0.75,1.05,us,us1000ddpb,2018-06-30T01:11:26.040Z,36km SW of Puerto El Triunfo  El Salvador,earthquake,6.3,5.7,0.029,369,reviewed,us,us
2018-04-03T01:16:21.250Z,13.0969,-88.7736,63.64,4.2,mb,,170,0.736,0.92,us,us1000ddep,2018-06-30T01:11:25.040Z,31km SW of Puerto El Triunfo  El Salvador,earthquake,5.6,10.1,0.076,49,reviewed,us,us
2018-04-02T23:23:17.670Z,13.1086,-88.6821,50,5.9,mww,,19,0.785,1.32,us,us1000dcru,2018-10-12T21:21:58.208Z,24km SW of Puerto El Triunfo  El Salvador,earthquake,5.5,1.8,0.04,61,reviewed,us,us
2018-03-21T00:00:37.010Z,13.1827,-89.0803,52.33,4,mb,,193,0.522,1.36,us,us1000d6ym,2018-06-19T01:35:45.040Z,35km S of El Rosario  El Salvador,earthquake,9.1,6.3,0.173,9,reviewed,us,us
2018-03-04T05:01:26.170Z,13.2777,-89.2946,69.61,4.5,mb,,60,0.411,0.86,us,us2000dbyd,2018-05-27T01:06:12.040Z,23km S of La Libertad  El Salvador,earthquake,6.6,6.6,0.046,140,reviewed,us,us
2018-02-18T13:42:15.200Z,15.4097,-87.8617,10,4,ml,,135,0.765,0.4,us,us2000d7vr,2018-05-15T06:29:14.040Z,6km W of El Progreso  Honduras,earthquake,3.5,2,0.073,25,reviewed,us,us
2018-02-17T06:29:39.900Z,12.9298,-88.5149,60.21,4.3,mb,,164,1.026,1.05,us,us2000d3sl,2018-05-15T06:29:12.040Z,39km S of Puerto El Triunfo  El Salvador,earthquake,7.4,11.1,0.073,53,reviewed,us,us
2018-02-09T10:19:55.490Z,15.3199,-88.8958,10,4.2,mb,,44,0.506,0.98,us,us2000czfr,2018-05-03T22:15:06.040Z,19km SSW of Morales  Guatemala,earthquake,5.8,1.9,0.052,102,reviewed,us,us
2018-02-05T19:28:47.470Z,13.0373,-89.0522,62.89,4.3,mb,,158,1.386,1.13,us,us1000cg8d,2018-05-03T22:14:58.040Z,51km S of El Rosario  El Salvador,earthquake,6.8,5.8,0.108,24,reviewed,us,us
2018-02-05T10:10:08.850Z,13.1901,-89.1613,60.85,4.4,mb,,163,0.498,1.2,us,us1000cfzn,2018-05-03T22:14:57.040Z,36km SSW of El Rosario  El Salvador,earthquake,5.8,7,0.07,58,reviewed,us,us
2018-02-03T01:02:32.550Z,13.7165,-89.0373,4,4.3,mb,,113,0.191,0.74,us,us1000cevm,2018-04-25T01:39:44.040Z,7km ENE of Ilopango  El Salvador,earthquake,3.6,7.3,0.093,33,reviewed,us,us
2018-01-27T14:40:36.020Z,15.9952,-84.5422,10,4.7,mb,,60,2.877,1.08,us,us2000cqd2,2018-04-20T07:05:30.040Z,27km NNW of Brus Laguna  Honduras,earthquake,7.1,1.8,0.045,147,reviewed,us,us
2018-01-22T13:58:02.290Z,16.4186,-83.2736,10,4.5,mb,,49,3.962,0.72,us,us2000cmgb,2018-04-20T07:05:07.040Z,127km ENE of Barra Patuca  Honduras,earthquake,7.5,1.9,0.071,58,reviewed,us,us
2018-01-13T01:43:28.690Z,13.054,-88.8193,66.36,4.1,mb,,152,0.746,0.78,us,us2000cj6h,2018-04-03T01:40:28.040Z,38km SW of Puerto El Triunfo  El Salvador,earthquake,6.7,9.4,0.139,14,reviewed,us,us
2018-01-11T18:19:35.900Z,13.7936,-89.1152,10,4.2,mb,,94,0.155,1.29,us,us2000cikm,2018-04-03T01:40:27.040Z,1km NNE of Tonacatepeque  El Salvador,earthquake,4.1,2,0.373,2,reviewed,us,us
2018-01-03T13:38:40.300Z,13.1978,-89.2796,73.5,5.2,mww,,113,0.488,0.86,us,us1000bzb5,2018-03-23T23:16:49.040Z,32km S of La Libertad  El Salvador,earthquake,6.3,5.9,0.061,26,reviewed,us,us
2018-01-01T09:40:08.750Z,16.6729,-86.1807,16.34,4.5,mwr,,35,2.492,0.93,us,us1000byr6,2018-03-23T23:16:47.040Z,42km NW of Guanaja  Honduras,earthquake,6.8,5.4,0.073,18,reviewed,us,us
